endpoint,date,incidents,downtime_min
riksarkivet_kyrkbok_c0005418,2023-06-08,1,8.38
riksarkivet_kyrkbok_c0005418,2023-06-15,1,22.97
riksarkivet_kyrkbok_c0005418,2023-07-13,1,8.97
riksarkivet_kyrkbok_c0005418,2023-07-17,1,144.78
riksarkivet_kyrkbok_c0005418,2023-07-19,1,135.23
riksarkivet_kyrkbok_c0005418,2023-07-29,1,146.42
riksarkivet_kyrkbok_c0005418,2023-08-06,1,1166.22
riksarkivet_kyrkbok_c0005418,2023-08-07,1,1166.22
riksarkivet_kyrkbok_c0005418,2023-08-14,1,8.42
riksarkivet_kyrkbok_c0005418,2023-09-28,1,8.4
riksarkivet_kyrkbok_c0005418,2024-01-08,11,195.35
riksarkivet_kyrkbok_c0005418,2024-01-09,10,229.60999999999999
riksarkivet_kyrkbok_c0005418,2024-01-15,1,13.03
riksarkivet_kyrkbok_c0005418,2024-02-18,2,25.270000000000003
riksarkivet_kyrkbok_c0005418,2024-02-29,1,8.53
riksarkivet_kyrkbok_c0005418,2024-03-04,1,11.88
riksarkivet_kyrkbok_c0005418,2024-03-14,1,12.63
riksarkivet_kyrkbok_c0005418,2024-04-11,1,5.03
riksarkivet_kyrkbok_c0005418,2024-04-13,1,25.13
riksarkivet_kyrkbok_c0005418,2024-04-14,1,57.08
riksarkivet_kyrkbok_c0005418,2024-04-15,2,38.25
riksarkivet_kyrkbok_c0005418,2024-04-16,1,45.02
riksarkivet_kyrkbok_c0005418,2024-04-17,1,25.83
riksarkivet_kyrkbok_c0005418,2024-04-18,1,19.82
riksarkivet_kyrkbok_c0005418,2024-04-19,1,13.97
riksarkivet_kyrkbok_c0005418,2024-04-21,1,34.73
riksarkivet_kyrkbok_c0005418,2024-04-22,1,31.0
riksarkivet_kyrkbok_c0005418,2024-04-23,1,15.35
riksarkivet_kyrkbok_c0005418,2024-04-24,1,16.07
riksarkivet_kyrkbok_c0005418,2024-04-25,1,19.37
riksarkivet_kyrkbok_c0005418,2024-04-26,1,15.15
riksarkivet_kyrkbok_c0005418,2024-04-28,1,27.1
riksarkivet_kyrkbok_c0005418,2024-05-02,1,27.25
riksarkivet_kyrkbok_c0005418,2024-05-05,1,22.32
riksarkivet_kyrkbok_c0005418,2024-05-12,1,25.97
riksarkivet_kyrkbok_c0005418,2024-05-19,1,28.1
riksarkivet_kyrkbok_c0005418,2024-05-23,1,8.38
riksarkivet_kyrkbok_c0005418,2024-05-26,1,14.55
riksarkivet_kyrkbok_c0005418,2024-06-02,1,318.8
riksarkivet_kyrkbok_c0005418,2024-06-03,1,318.8
riksarkivet_kyrkbok_c0005418,2024-07-19,1,75.62
riksarkivet_kyrkbok_c0005418,2024-08-24,1,22.7
riksarkivet_kyrkbok_c0005418,2024-11-11,1,4.02
riksarkivet_kyrkbok_c0005418,2024-12-05,1,131.23
riksarkivet_kyrkbok_c0005418,2024-12-22,1,13.82
riksarkivet_kyrkbok_c0005418,2024-12-29,1,50.58
riksarkivet_kyrkbok_c0005418,2025-01-05,1,57.58
riksarkivet_kyrkbok_c0005418,2025-01-12,1,50.53
riksarkivet_kyrkbok_c0005418,2025-01-17,1,4.08
riksarkivet_kyrkbok_c0005418,2025-01-19,1,48.12
riksarkivet_kyrkbok_c0005418,2025-01-26,1,9.87
riksarkivet_kyrkbok_c0005418,2025-02-02,2,15.61
riksarkivet_kyrkbok_c0005418,2025-02-09,1,35.45
riksarkivet_kyrkbok_c0005418,2025-02-13,1,730.15
riksarkivet_kyrkbok_c0005418,2025-02-14,2,739.03
riksarkivet_kyrkbok_c0005418,2025-02-16,1,31.33
riksarkivet_kyrkbok_c0005418,2025-02-23,1,29.97
riksarkivet_kyrkbok_c0005418,2025-03-02,1,22.93
riksarkivet_kyrkbok_c0005418,2025-03-09,1,21.85
riksarkivet_kyrkbok_c0005418,2025-03-14,1,8.7
riksarkivet_kyrkbok_c0005418,2025-03-16,1,22.35
riksarkivet_kyrkbok_c0005418,2025-03-23,1,34.92
riksarkivet_kyrkbok_c0005418,2025-03-27,1,25.75
riksarkivet_kyrkbok_c0005418,2025-03-30,1,43.03
riksarkivet_kyrkbok_c0005418,2025-04-03,1,12.85
riksarkivet_kyrkbok_c0005418,2025-04-06,1,30.78
riksarkivet_kyrkbok_c0005418,2025-04-10,1,53.97
riksarkivet_kyrkbok_c0005418,2025-04-18,1,235.98
riksarkivet_kyrkbok_c0005418,2025-04-27,1,45.08
riksarkivet_kyrkbok_c0005418,2025-05-04,1,52.37
riksarkivet_kyrkbok_c0005418,2025-05-11,1,52.53
riksarkivet_kyrkbok_c0005418,2025-05-22,1,7.67
riksarkivet_kyrkbok_c0005418,2025-06-12,1,29.02
riksarkivet_kyrkbok_c0005418,2025-06-16,2,132.28
riksarkivet_kyrkbok_c0005418,2025-06-17,2,2495.58
